transaction_id,fraud_label,amount,product_code_freq,card_network_freq,card_type_freq,email_domain_freq,missing_fields_count,hour,weekday_index,is_weekend,is_night,day_of_year,time_since_midnight_sec,amount_log,amount_cents,is_round_amount,is_zero_cents,customer_tx_count_5m,customer_tx_count_1h,customer_tx_count_24h,customer_amount_mean,customer_amount_std,customer_amount_zscore,customer_amount_ratio,customer_is_new,customer_unique_merchants_24h,customer_unique_devices_24h,card_tx_count_5m,card_tx_count_1h,card_tx_count_24h,card_amount_mean,card_amount_std,card_amount_ratio,card_is_new,device_tx_count_5m,device_tx_count_1h,device_tx_count_24h,device_unique_customers_24h,device_unique_cards_24h,device_is_new,merchant_tx_count_1h,merchant_tx_count_24h,merchant_amount_mean,merchant_amount_std,customer_merchant_tx_count,customer_merchant_is_new,ip_tx_count_5m,ip_tx_count_1h,ip_tx_count_24h,ip_unique_customers_24h,ip_unique_cards_24h,ip_unique_devices_24h,ip_is_new,customer_device_seen_before,customer_card_seen_before,customer_merchant_seen_before,customer_ip_seen_before,card_device_seen_before,card_ip_seen_before,rapid_transaction_flag,transactions_last_15m,amount_sum_last_1h,amount_sum_last_24h
TX_0070001,1,559.64,0.7432,0.0115,0.7425,0.062,0.0,15.0,6.0,1.0,0.0,32.0,55368.0,6.329078988307972,0.64,0.0,0.0,0.0,0.0,0.0,100.803,91.99562533620825,4.987595317137919,5.551818343519702,0.0,0.0,0.0,0.0,0.0,0.0,100.803,91.99562533620825,5.551818343519702,0.0,2.0,5.0,5.0,5.0,5.0,0.0,5.0,6.0,224.1905633802817,419.0485645353283,0.0,1.0,2.0,5.0,5.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TX_0070002,1,613.43,0.0648,0.6512,0.2575,0.0475,0.0,15.0,6.0,1.0,0.0,32.0,55381.0,6.420695008766408,0.43,0.0,0.0,1.0,2.0,2.0,416.003,526.6926930203228,0.3748428616304223,1.4745806767119305,0.0,1.0,1.0,1.0,2.0,2.0,416.003,526.6926930203228,1.4745806767119305,0.0,1.0,2.0,2.0,1.0,1.0,0.0,4.0,8.0,382.5863157894737,707.4463534354094,2.0,0.0,1.0,2.0,7.0,6.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2711.2200000000003,2711.2200000000003
TX_0070003,0,146.18,0.0558,0.0168,0.2575,0.016,0.0,15.0,6.0,1.0,0.0,32.0,55407.0,4.991656327498453,0.18,0.0,0.0,0.0,0.0,0.0,100.14,29.606168758747366,1.555080794964029,1.4597561953508893,0.0,0.0,0.0,0.0,0.0,0.0,100.14,29.606168758747366,1.4597561953508893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,252.78810344827585,489.8935304577252,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX_0070004,0,57.06,0.0558,0.6512,0.2575,0.0105,0.0,15.0,6.0,1.0,0.0,32.0,55495.0,4.061476958596484,0.06,0.0,0.0,0.0,0.0,0.0,279.719,269.76157185373904,-0.8253918088333372,0.20399042596354108,0.0,0.0,0.0,0.0,0.0,0.0,279.719,269.76157185373904,0.20399042596354108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,138.95921875,273.7234815711874,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
TX_0070005,0,2553.52,0.7432,0.6512,0.7425,0.169,0.0,15.0,6.0,1.0,0.0,32.0,55503.0,7.8456196180610105,0.52,0.0,0.0,0.0,0.0,1.0,899.2379999999999,1109.9515550161038,1.4904091783284246,2.839648648748734,0.0,1.0,1.0,0.0,0.0,1.0,899.2379999999999,1109.9515550161038,2.839648648748734,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,336.8010344827586,606.2300260134838,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,107.62
TX_0070006,0,91.99,0.0558,0.0115,0.7425,0.0765,0.0,15.0,6.0,1.0,0.0,32.0,55523.0,4.5324919604901055,0.99,0.0,0.0,0.0,0.0,0.0,117.06333333333333,206.05924889593174,-0.12168020727472569,0.7858138797391258,0.0,0.0,0.0,0.0,0.0,0.0,117.06333333333333,206.05924889593174,0.7858138797391258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,294.70351851851854,591.1877781155287,0.0,1.0,0.0,0.0,4.0,3.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX_0070007,1,1478.05,0.0648,0.6512,0.2575,0.0475,0.0,15.0,6.0,1.0,0.0,32.0,55577.0,7.2991552687654675,0.05,0.0,0.0,1.0,3.0,3.0,433.9509090909091,505.378881028959,2.065972895669009,3.406030348078053,0.0,1.0,1.0,1.0,3.0,3.0,433.9509090909091,505.378881028959,3.406030348078053,0.0,1.0,3.0,3.0,1.0,1.0,0.0,5.0,9.0,385.58428571428567,703.3233060789614,3.0,0.0,1.0,3.0,8.0,6.0,6.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3324.65,3324.65
TX_0070008,0,89.42,0.1165,0.3205,0.7425,0.169,0.0,15.0,6.0,1.0,0.0,32.0,55603.0,4.504465481866459,0.42,0.0,0.0,0.0,0.0,0.0,508.53000000000003,814.9631163958982,-0.5142686661830661,0.17584016329734406,0.0,0.0,0.0,0.0,0.0,0.0,508.53000000000003,814.9631163958982,0.17584016329734406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,372.2149295774648,697.1622459897306,0.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
TX_0070009,0,66.96,0.0558,0.0115,0.2575,0.169,1.0,15.0,6.0,1.0,0.0,32.0,55630.0,4.2189192968037315,0.96,0.0,0.0,0.0,0.0,0.0,263.915,487.66897578685484,-0.4038702598284219,0.2537180435474284,0.0,0.0,0.0,0.0,0.0,0.0,263.915,487.66897578685484,0.2537180435474284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.7469090909091,353.95552332755403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
TX_0070010,0,66.71,0.0558,0.3205,0.7425,0.0765,0.0,15.0,6.0,1.0,0.0,32.0,55636.0,4.215233879497554,0.71,0.0,0.0,0.0,0.0,0.0,66.695,40.887226917461646,0.00036686264787911215,1.0002247544456473,0.0,0.0,0.0,0.0,0.0,0.0,66.695,40.887226917461646,1.0002247544456473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,137.69923076923078,271.79673200224573,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
